match_id,period,game_clock,match_min,team,opponent,passer,passer_pos,receiver,linesBrokenType,broke_D,broke_M,broke_A,completed,passType,ballHeight,start_x,start_y,end_x,end_y,length,depth_behind,line_x,iso_dist,n_line,near1_x,near1_y,near2_x,near2_y,side,run_x,run_y,run_mag,channel_type,attack_dir
3814,1,436,07:16,Ecuador,Qatar,Pervis Estupinan,LB,Michael Estrada,D,True,False,False,False,T,G,6.84,29.8,27.44,16.23,24.67,11.76,15.68,8.5,6,20.58,11.22,19.1,18.44,Right,7.91,2.11,8.18,Type1_wide,-1.0
3814,1,557,09:17,Ecuador,Qatar,Pervis Estupinan,LB,Romario Ibarra,M,False,True,False,False,T,G,20.66,30.32,33.28,16.32,18.85,6.1,27.18,5.37,6,29.62,12.38,29.94,22.12,Right,2.88,2.27,3.67,Type1_wide,-1.0
3814,1,821,13:41,Ecuador,Qatar,Michael Estrada,CF,Enner Valencia,,False,False,False,False,F,A,14.79,11.07,23.91,11.12,9.12,15.53,8.38,9.83,3,15.23,15.74,16.27,-2.69,Right,8.04,-5.26,9.6,Type2_halfspace,-1.0
3814,1,1030,17:10,Qatar,Ecuador,Pedro Miguel,RWB,Hasan Al-Haydos,,False,False,False,True,S,A,30.33,-26.92,33.82,-18.83,8.81,8.97,24.85,12.03,3,28.71,-29.72,27.97,-7.84,Left,8.94,-5.06,10.27,Type3_switch,1.0
3814,1,1033,17:13,Qatar,Ecuador,Pedro Miguel,RWB,Hasan Al-Haydos,,False,False,False,True,S,L,34.22,-24.43,39.1,-22.05,5.43,7.55,31.55,3.66,6,36.81,-19.19,35.21,-24.73,Left,1.93,-1.58,2.5,Type1_wide,1.0
3814,1,1034,17:14,Qatar,Ecuador,Hasan Al-Haydos,CM,Pedro Miguel,,False,False,False,True,F,A,38.6,-20.82,39.6,-17.16,3.79,1.62,37.99,4.17,7,38.87,-21.27,35.06,-22.15,Left,5.03,3.88,6.36,Type1_wide,1.0
3814,1,1265,21:05,Ecuador,Qatar,Enner Valencia,CF,Gonzalo Plata,M,False,True,False,True,S,L,16.02,-22.09,23.8,-25.34,8.43,9.34,14.47,10.19,4,15.24,-30.86,13.72,-20.04,Left,4.1,1.03,4.22,Type1_wide,-1.0
3814,1,1470,24:30,Qatar,Ecuador,Homam Ahmed,LWB,Abdulaziz Hatem,,False,False,False,False,F,A,20.25,26.62,30.89,25.51,10.69,12.24,18.65,12.25,6,18.64,25.13,18.69,29.09,Right,7.9,7.87,11.15,Type1_wide,1.0
3814,1,1548,25:48,Ecuador,Qatar,Angelo Preciado,RB,Gonzalo Plata,,False,False,False,True,S,G,22.67,-30.17,33.32,-31.8,10.77,12.43,20.89,8.98,4,28.89,-23.99,20.89,-27.03,Left,7.99,0.25,7.99,Type1_wide,-1.0
3814,1,1779,29:39,Ecuador,Qatar,Michael Estrada,CF,Enner Valencia,,False,False,False,True,F,A,1.54,-30.05,17.07,-28.71,15.58,12.01,5.06,9.1,4,9.92,-23.08,5.67,-26.0,Left,8.5,-4.54,9.64,Type1_wide,-1.0
