fixture,match_id,period,match_min,team,opponent,passer,receiver,channel_type,ml_probability,depth_behind,iso_dist,label,note
Japan-Spain,3854,1,01:33,Spain,Japan,Nico Williams,Gavi,Type2_halfspace,0.49,9.35,12.83,,
Japan-Spain,3854,1,01:59,Spain,Japan,Rodri,Dani Olmo,Type3_switch,0.01,2.28,3.64,,
Japan-Spain,3854,1,04:08,Japan,Spain,Daizen Maeda,Takefusa Kubo,Type1_wide,0.75,11.9,9.24,,
Japan-Spain,3854,1,08:16,Spain,Japan,Pedri,Dani Olmo,Type1_wide,0.13,8.99,12.55,,
Japan-Spain,3854,1,08:19,Spain,Japan,Dani Olmo,Alex Balde,Type1_wide,0.35,8.91,5.86,,
Japan-Spain,3854,1,10:52,Spain,Japan,Nico Williams,Gavi,Type1_wide,0.57,11.47,9.38,,
Japan-Spain,3854,1,17:01,Spain,Japan,Alex Balde,Dani Olmo,Type1_wide,0.07,2.64,13.45,,
Japan-Spain,3854,1,21:38,Japan,Spain,Daichi Kamada,Yuto Nagatomo,Type1_wide,0.57,7.3,10.8,,
Japan-Spain,3854,1,22:30,Spain,Japan,Pedri,Gavi,Type2_halfspace,0.54,10.88,11.53,,
Japan-Spain,3854,1,22:32,Spain,Japan,Gavi,Álvaro Morata,Type1_wide,0.32,16.31,11.88,,
Japan-Spain,3854,1,23:52,Spain,Japan,César Azpilicueta,Álvaro Morata,Type2_halfspace,0.38,14.99,15.25,,
Japan-Spain,3854,1,24:55,Japan,Spain,Yuto Nagatomo,Daichi Kamada,Type1_wide,0.51,18.56,18.59,,
Japan-Spain,3854,1,27:56,Spain,Japan,Dani Olmo,Álvaro Morata,Type2_halfspace,0.27,9.43,9.23,,
Japan-Spain,3854,1,34:01,Japan,Spain,Yuto Nagatomo,Daichi Kamada,Type1_wide,0.23,18.44,18.79,,
Japan-Spain,3854,1,35:10,Japan,Spain,Daichi Kamada,Takefusa Kubo,Type1_wide,0.35,5.75,6.68,,
Japan-Spain,3854,1,35:12,Japan,Spain,Takefusa Kubo,Yuto Nagatomo,Type2_halfspace,0.31,17.99,15.72,,
Japan-Spain,3854,1,39:29,Japan,Spain,Hidemasa Morita,Ao Tanaka,Type2_halfspace,0.74,13.42,8.28,,
Japan-Spain,3854,1,41:10,Spain,Japan,Alex Balde,Dani Olmo,Type1_wide,0.33,19.24,19.02,,
Japan-Spain,3854,2,58:20,Spain,Japan,Pedri,Marco Asensio,Type2_halfspace,0.51,8.74,8.35,,
Japan-Spain,3854,2,60:22,Spain,Japan,Daniel Carvajal,Ferran Torres,Type1_wide,0.07,5.65,11.12,,
Japan-Spain,3854,2,65:32,Japan,Spain,Ao Tanaka,Junya Ito,Type1_wide,0.26,3.41,5.19,,
Japan-Spain,3854,2,65:59,Japan,Spain,Ko Itakura,Daichi Kamada,Type1_wide,0.81,13.06,8.48,,
Japan-Spain,3854,2,71:51,Spain,Japan,Marco Asensio,Jordi Alba,Type3_switch,0.0,1.37,13.6,,
Japan-Spain,3854,2,71:55,Spain,Japan,Jordi Alba,Marco Asensio,Type1_wide,0.81,11.21,11.26,,
Japan-Spain,3854,2,73:09,Spain,Japan,Jordi Alba,Marco Asensio,Type1_wide,0.19,4.88,4.18,,
Japan-Spain,3854,2,73:23,Spain,Japan,Daniel Carvajal,Ferran Torres,Type1_wide,0.33,7.88,3.91,,
Japan-Spain,3854,2,73:54,Spain,Japan,Rodri,Ferran Torres,Type1_wide,0.15,16.47,13.58,,
Japan-Spain,3854,2,74:56,Spain,Japan,Pedri,Jordi Alba,Type1_wide,0.64,12.56,12.03,,
Japan-Spain,3854,2,76:19,Spain,Japan,Ferran Torres,Dani Olmo,Type1_wide,0.9,6.47,8.29,,
